University,City,Country,Program Name,Deadline,Fees,TOEFL Score,GRE Score,GMAT Score,IELTS Score
university of applied sciences flensburg,flensburg,germany,M.S Automation Engineering,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
university of applied sciences flensburg,flensburg,germany,M.S Biotechnology and Process Engineering,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
university of applied sciences flensburg,flensburg,germany,B.A Business Administration,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
university of applied sciences flensburg,flensburg,germany,M.S Wind Engineering,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
university of applied sciences flensburg,flensburg,germany,M.A Business Management,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
university of applied sciences flensburg,flensburg,germany,B.S Biotechnology and Process Engineering,Application Deadline For Summer Intake (1st Jan 2024),"44,867",,,,
drexel university,philadelphia,usa,M.S Robotics and Autonomy,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,90,61,,6.5
drexel university,philadelphia,usa,M.S Computer Science,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,90,60,,6.5
drexel university,philadelphia,usa,M.S Business Analytics,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,570,6.5,90,310
drexel university,philadelphia,usa,M.S Cybersecurity,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,90,61,,6.5
drexel university,philadelphia,usa,M.S Civil Engineering,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,90,61,,6.5
drexel university,philadelphia,usa,M.S Engineering Management,Spring Application And Document Submission Deadline (1st Feb 2024),33.4,90,61,,6.5
university wingate,wingate,usa,M.B.A Management,Application Deadline For Spring Intake (1st Nov 2023),17.4,6.5,545,,80
university wingate,wingate,usa,B.A/B.S Mathematics and Business,Application Deadline For Spring Intake (1st Nov 2023),33.3,,,,
university wingate,wingate,usa,M.A Accounting,Application Deadline For Spring Intake (1st Nov 2023),16.6,,,,
university wingate,wingate,usa,B.A Accounting,Application Deadline For Spring Intake (1st Nov 2023),33.3,,,,
university wingate,wingate,usa,B.A English,Application Deadline For Spring Intake (1st Nov 2023),33.3,,,,
university wingate,wingate,usa,B.A English and Education,Application Deadline For Spring Intake (1st Nov 2023),33.3,,,,
lewis and clark college,portland,usa,B.S Computer Science,Application Deadline For Spring Intake (1st Nov 2023),51.4,,,,
lewis and clark college,portland,usa,B.S Computer Science and Mathematics,Application Deadline For Spring Intake (1st Nov 2023),51.4,,,,
lewis and clark college,portland,usa,B.S Chemistry,Application Deadline For Spring Intake (1st Nov 2023),51.4,,,,
lewis and clark college,portland,usa,B.A International Affairs,Application Deadline For Spring Intake (1st Nov 2023),51.4,,,,
lewis and clark college,portland,usa,M.Ed Educational Administration,Application Deadline For Spring Intake (1st Nov 2023),44.1,,,,
lewis and clark college,portland,usa,B.A Classics,Application Deadline For Spring Intake (1st Nov 2023),51.4,,,,
northern michigan university,marquette,usa,M.B.A,Application Deadline For Winter Intake (24th Jan 2024),12.5,6.5,50,500,79
northern michigan university,marquette,usa,M.A Reading Endorsement,Application Deadline For Winter Intake (24th Jan 2024),12.5,6.5,50,,79
northern michigan university,marquette,usa,M.S Exercise Science,Application Deadline For Winter Intake (24th Jan 2024),12.5,6.5,50,,79
northern michigan university,marquette,usa,B.A Art and Design,Application Deadline For Summer Intake (17th Mar 2024),15.6,6.5,50,,79
northern michigan university,marquette,usa,M.S Clinical Molecular Genetics,Application Deadline For Winter Intake (24th Jan 2024),12.5,6.5,50,,79
northern michigan university,marquette,usa,B.S Forensic Biochemistry,Application Deadline For Summer Intake (17th Mar 2024),15.6,6.5,50,,79
santa college santa monica,monica,usa,B.S Interaction Design,Application Deadline (1st Mar 2024),8.3,6,46,,80
canterbury christ church university,canterbury,uk,M.B.A International,Application Deadline (9th Dec 2023),14.7,6,590,,80
canterbury christ church university,canterbury,uk,M.Sc Data Intelligence,Application Deadline (9th Dec 2023),14.7,6,,,
canterbury christ church university,canterbury,uk,M.Sc International Business,Application Deadline (9th Dec 2023),14.7,6,,,
