Program Name,University Name,Location
Bachelor's Degree in Economics,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Physiotherapy,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Biotechnology,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Marketing,ESIC Business & Marketing School,Multiple (2)
Bachelor's Degree in Biomedicine,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Gastronomy,"Gasma, Gastronomy & Culinary Management Campus","Castellón de la Plana, Spain"
Marketing Bachelor's degree,Linnaeus University,"Växjö, Sweden"
Bachelor's Degree in Architecture,Universidad CEU San Pablo,"Madrid, Spain"
Bachelor's Degree in Medicine,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Physiotherapy,Universidad CEU San Pablo,"Madrid, Spain"
Bachelor's Degree in Civil Engineering,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Tourism,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Law,University Carlos III of Madrid,Multiple (2)
Bachelor's Degree in Chemistry,University of Southampton,"Southampton, England"
Bachelor's Degree in Sociology,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Data Science,ESIC Business & Marketing School,"Madrid, Spain"
Bachelor's Degree in Education,University of Southampton,"Southampton, England"
Bachelor's Degree in Physics,University of Southampton,"Southampton, England"
Bachelor's Degree in Pharmacology,University of Southampton,"Southampton, England"
Bachelor's Degree in Dentistry,Universidad CEU San Pablo,"Madrid, Spain"
Bachelor's Degree in Spanish,University of Southampton,"Southampton, England"
Bachelor's Degree in Software Engineering,Macromedia University of Applied Sciences,Multiple (2)
Bachelor's Degree in Marketing,University of Southampton,"Southampton, England"
Bachelor's Degree in Politics,University of Southampton,"Southampton, England"
Bachelor's Degree in Sociology,University of Southampton,"Southampton, England"
Bachelor's Degree in Mathematics,University of Southampton,"Southampton, England"
Bachelor's Degree in Bioengineering,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Midwifery,University of Southampton,"Southampton, England"
Bachelor's Degree in Psychology,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Biochemistry,University of Southampton,"Southampton, England"
Bachelor's Degree in German,University of Southampton,"Southampton, England"
Bachelor's Degree in Psychology,University of Southampton,"Southampton, England"
Bachelor's Degree in Journalism,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Zoology,University of Southampton,"Southampton, England"
Bachelor's Degree in Nursing,University of Southampton,"Southampton, England"
Bachelor's Degree in PPE,University of Southampton,"Southampton, England"
Bachelor's Degree in Journalism,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Business Administration,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Philosophy,University of Southampton,"Southampton, England"
Bachelor's Degree in Cultural Studies,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Biology,University of Southampton,"Southampton, England"
Bachelor's Degree in Podiatry,University of Southampton,"Southampton, England"
Bachelor's Degree in Audiology,University of Southampton,"Southampton, England"
Bachelor's Degree in Dentistry,Universidad Europea,Multiple (2)
Bachelor's degree in Acting,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's Degree in French,University of Southampton,"Southampton, England"
Bachelor's Degree in Robotics Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Physiotherapy,University of Southampton,"Southampton, England"
Bachelor's Degree in Oceanography,University of Southampton,"Southampton, England"
Bachelor's Degree in Music,University of Southampton,"Southampton, England"
Bachelor's Degree in Mechanical Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Artificial Intelligence,Macromedia University of Applied Sciences,Multiple (2)
Bachelor's Degree in Fashion Design,Accademia del Lusso School of Fashion & Design,"Milan, Italy"
Bachelor's Degree in MORSE,University of Southampton,"Southampton, England"
Bachelor's Degree in History,University of Southampton,"Southampton, England"
Bachelor's Degree in Engineering Physics,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Geography,University of Southampton,"Southampton, England"
Bachelor's degree in Filmmaking,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's Degree in Archaeology,University of Southampton,"Southampton, England"
Bachelor's degree in Business Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's degree in Brand Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's Degree in Aerospace Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Business Administration,University Carlos III of Madrid,Multiple (2)
Bachelor's Degree in Business Administration,Universidad Europea,Multiple (2)
Bachelor's Degree in International Business,ESIC Business & Marketing School,Multiple (2)
Bachelor's Degree in German and Philosophy,University of Southampton,"Southampton, England"
Bachelor's Degree in UI/UX Design,Macromedia University of Applied Sciences,Multiple (2)
Bachelor's Degree in Political Science,University Carlos III of Madrid,"Getafe, Spain"
Bachelor's Degree in Architecture,Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in International Studies,University Carlos III of Madrid,"Getafe, Spain"
Bachelor Degree in Advertising and Public Relations,ESIC Business & Marketing School,Multiple (2)
Bachelor's Degree in Criminology and Psychology,University of Southampton,"Southampton, England"
Bachelor's Degree in Industrial Technologies Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Industrial Systems Engineering,Universidad Europea,"Madrid, Spain"
Bachelor's Degree in Biomedical Science (Biomedicine),Universitat Internacional de Catalunya,"Barcelona, Spain"
Bachelor's Degree in Marine Biology,University of Southampton,"Southampton, England"
Bachelor's Degree in Occupational Therapy,University of Southampton,"Southampton, England"
Bachelor's Degree in Biomedical Sciences,University of Southampton,"Southampton, England"
Bachelor's Degree in Politics and Economics,University of Southampton,"Southampton, England"
Bachelor's Degree in French and Philosophy,University of Southampton,"Southampton, England"
Bachelor's degree in Fashion Management,Macromedia University of Applied Sciences,"Berlin, Germany"
Bachelor's Degree in English and Music,University of Southampton,"Southampton, England"
Bachelor's Degree in Biomedical Engineering,University Carlos III of Madrid,"Leganés, Spain"
Bachelor's Degree in Philosophy and Politics,University of Southampton,"Southampton, England"
Bachelor's Degree in English and MFL,University of Southampton,"Southampton, England"
Bachelor's Degree in Chemical Engineering,University of Southampton,"Southampton, England"
Bachelor's Degree in Modern Languages,University of Southampton,"Southampton, England"
Bachelor's Degree in Spanish and History,University of Southampton,"Southampton, England"
