Program Name,University Name,Location
PhD Doctorate of Philosophy,Unicaf University,"Lilongwe, Malawi"
PhD – Doctor of Philosophy in Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
PhD - Doctor of Philosophy in Theology,University of Otago,"Christchurch, New Zealand"
PhD - Doctor of Philosophy in Law,University of Otago,"Christchurch, New Zealand"
Doctorate in Design,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Languages,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Music,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Science,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Arts,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Pharmacy,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Surveying,University of Otago,"Wellington, New Zealand"
PhD - Doctor of Philosophy in Medicine,University of Otago,"Dunedin, New Zealand"
Doctorate in Psychology,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Biotechnology,Universidade de Aveiro,"Aveiro, Portugal"
PhD Doctor of Philosophy Education,Unicaf University,"Lilongwe, Malawi"
PhD - Doctor of Philosophy in Computer Science,University of Otago,"Christchurch, New Zealand"
Doctorate in Biomedicine,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Commerce,University of Otago,"Dunedin, New Zealand"
Doctorate in Biochemistry,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Mathematics,University of Otago,"Dunedin, New Zealand"
Doctor of Health Studies (Research),Cardiff University,"Cardiff, Wales"
Doctor of Philosophy,Charles Darwin University,"Darwin, Australia"
Doctorate in Music,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Health Sciences,University of Otago,"Dunedin, New Zealand"
PhD - Doctor of Philosophy in Information Science,University of Otago,"Christchurch, New Zealand"
Doctorate in Political Science,Universidade de Aveiro,"Aveiro, Portugal"
PhD - Doctor of Philosophy in Geography,University of Otago,"Dunedin, New Zealand"
Professional Doctorate in Healthcare Practice,University of Limerick,"Limerick, Ireland"
Doctorate in Business Innovation,Universidade de Aveiro,"Aveiro, Portugal"
PhD Doctor of Philosophy Business Administration,Unicaf University,"Lilongwe, Malawi"
PhD Doctor of Philosophy Marketing Management,Unicaf University,"Lilongwe, Malawi"
PhD Doctor of Philosophy Accounting and Finance,Unicaf University,"Lilongwe, Malawi"
PhD Doctor of Philosophy Information and Technology,Unicaf University,"Lilongwe, Malawi"
Doctorate in Applied Mathematics,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate of Business Administration,University of Lincoln,"Lincoln, England"
Doctor of Business Administration,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Doctorate in Biorefineries,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate of Education (EdD),Unicaf University,"Lusaka, Zambia"
Doctorate in Mechanical Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Accounting,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Public Policies,Universidade de Aveiro,"Aveiro, Portugal"
Doctorate in Chemistry,Universidade de Aveiro,"Aveiro, Portugal"
Clinical Psychology Doctorate Program,University of Limerick,"Limerick, Ireland"
